会員ID,登録エリア,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,エリア総消費額,満足度(商品・サービス),満足度(商品・サービス)の理由,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
206350,レインボーライン エリア,女,1965,61,60代,広島県,広島市安芸区,分からない/無回答,mobile/iphone,2026-08-10 21:57:33,8月,レインボーライン エリア,77.レインボーライン エリア,美浜町,嶺南東部,三方五湖DMO(株),4泊以上,3泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,長野,夫婦2人,"まちあるき、都市散策
",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,"新幹線
在来線
",0,1,1,0,0,0,0,"レンタカー
",0,0,0,0,満足,新しい道もあり、スムーズに移動できた。,"30,000円以上 40,000円未満","40,000円以上 50,000円未満","30,000円以上 40,000円未満",初めて,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,氣比神宮,,選択なし/該当施設なし,"10,000円以上 20,000円未満",満足,商品説明は少なめだが、地元のものもたくさんあったから。,満足,,感じた,なぜこのような地形になったのかとか、世界的にどんな重要性をもっているのかなどもう少しアピールしても良い。小学校高学年が理解できる程度のものがよい。学習と絡めて訪れる人かま増えそう。,6,歴史好きや理科好きには面白い。,,機会があれば行きたい,へしこや羽二重とか、福井料理を作って食べるとか気軽にその日に体験できるものが増えるとうれしい。
206349,かつやま恐竜の森 エリア,男,1961,65,60代,兵庫県,尼崎市,600万円以上 700万円未満,mobile/iphone,2026-08-10 21:36:41,8月,かつやま恐竜の森 エリア,25.かつやま恐竜の森 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,不満,混雑がひどいからか、身体の不具合を訴えても離れた駐車場を指示された,"100,000円以上","100,000円以上","20,000円以上 30,000円未満",初めて,"新聞・雑誌・ガイドブック
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,越前松島水族館,使わない,とても不満,駐車場の対応,とても不満,,感じた,入場者数制限をするべき　エスカレーター等幼児にきけをかんじた,0,,,あまり行きたいと思わない,
206348,あわら湯のまち エリア,女,1974,52,50代,神奈川県,横浜市都筑区,500万円以上 600万円未満,mobile/iphone,2026-08-10 20:51:16,8月,あわら湯のまち エリア,17.あわら湯のまち エリア,あわら市,あわら市・坂井市,,4泊以上,1泊,三国・あわらエリア（あわら市・坂井市）,新潟　富山　名古屋,夫婦2人,"宿でのんびり過ごす
温泉や露天風呂
地元の美味しいものを食べる
名所、旧跡の観光
まちあるき、都市散策
",1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"30,000円以上 40,000円未満","10,000円以上 20,000円未満","10,000円以上 20,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"5,000円以上 10,000円未満",満足,,満足,,感じなかった,,5,,,機会があれば行きたい,
206346,三国湊 エリア,女,1970,56,50代,東京都,府中市,200万円以上 300万円未満,mobile/android,2026-08-10 20:34:56,8月,三国湊 エリア,09.三国湊 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,その他家族,"お祭りやイベントへの参加・見物
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"新幹線
",0,0,1,1,0,0,0,"在来線
",0,0,0,0,どちらでもない,イベント会場へ電車で行くためには、えちぜん交通が一番便利だったため、大変混み合っていた。,"40,000円以上 50,000円未満","30,000円以上 40,000円未満","30,000円以上 40,000円未満",初めて,"観光連盟やDMOのHP
インターネット・アプリ
Twitter
",0,0,0,0,1,1,1,0,0,0,0,0,0,0,東尋坊,,福井駅,"20,000円以上 30,000円未満",どちらでもない,時間の関係で、東尋坊にしか行けなかったのだが、台風の影響で遊覧船が運休だった。残念。,満足,三国駅に観光案内のチラシが沢山置いてあり、今度来た時には、まずここで情報をいれてから行動しようと思うほどの充実ぶりでした。,感じた,ネットで時刻表を確認した時には、平日の東尋坊行きのバスは1時間に2本だったのだが、現地にいったら1本だった。ネットの情報はいつのものだったのだろう。,8,"冬のカニはとても魅力的。夏の温泉はちょっと熱かったが、冬なら最高だろうと思う。
",三国港にあるというジェラート屋など、昼過ぎから営業が多く、昼には福井駅に向かってしまうので無理な店が多くあった。,機会があれば行きたい,魚が大変美味しかった。福井駅店のはせ川の羽二重くるみが昼過ぎになくなってびっくりした。もう少し入荷してくれると嬉しい。福井駅前もきれいだし、恐竜に興味がなくても楽しめそうな要素がある。最低2泊はして余裕をもって福井を楽しみたい。
206347,JR九頭竜湖駅 エリア,男,1957,69,60代,京都府,京都市伏見区,100万円未満,mobile/android,2026-08-10 20:30:11,8月,JR九頭竜湖駅 エリア,23.JR九頭竜湖駅 エリア,大野市,勝山市・大野市,,日帰り,2泊,奥越前エリア（勝山市・大野市）,福井県外には宿泊しない,友人,"温泉や露天風呂
",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"40,000円以上 50,000円未満","20,000円以上 30,000円未満","30,000円以上 40,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,一乗谷朝倉氏遺跡,,選択なし/該当施設なし,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,10,,,また行きたい（1年以内）,
206345,越前そばの里 エリア,男,1969,57,50代,和歌山県,御坊市,600万円以上 700万円未満,mobile/iphone,2026-08-10 20:03:21,8月,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,2泊,2泊,越前エリア（越前市・越前町・鯖江市・池田町・南越前町）,滋賀県,夫婦2人,"宿でのんびり過ごす
地元の美味しいものを食べる
名所、旧跡の観光
まちあるき、都市散策
",1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,どちらでもない,,"20,000円以上 30,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",2～5回目,"観光展・物産展
新聞・雑誌・ガイドブック
観光パンフレット・ポスター
インターネット・アプリ
",1,1,0,1,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,10,,,,
206342,越前松島水族館 エリア,男,1979,47,40代,富山県,氷見市,"900万円以上 1,000万円未満",mobile/iphone,2026-08-10 19:15:47,8月,越前松島水族館 エリア,11.越前松島水族館 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,1泊,三国・あわらエリア（あわら市・坂井市）,福井県外には宿泊しない,小学生以下連れの家族,"宿でのんびり過ごす
温泉や露天風呂
名所、旧跡の観光
テーマパーク（遊園地、動物園、博物館など）
各種体験（手作り、果物狩りなど）
",1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても不満,水族館の駐車場が狭く大渋滞で入れませんでした。また別の機会に行きたいと思います。,"50,000円以上 100,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",2～5回目,"観光展・物産展
新聞・雑誌・ガイドブック
観光パンフレット・ポスター
インターネット・アプリ
Instagram
",1,1,0,1,0,1,0,1,0,0,0,0,0,0,三國湊レトロ,,福井県立恐竜博物館,"20,000円以上 30,000円未満",満足,,満足,,感じた,水族館の駐車場がいっぱいで立ち寄れなかったこと。,4,東尋坊と海水浴,,機会があれば行きたい,
206307,ふくい鮮いちば エリア,女,1979,47,40代,大阪府,高槻市,200万円以上 300万円未満,mobile/iphone,2026-08-10 18:10:18,8月,道の駅「恐竜渓谷かつやま」 エリア,26.道の駅「恐竜渓谷かつやま」 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,福井県立恐竜博物館,,東尋坊,"3,000円以上 5,000円未満",満足,,満足,,感じなかった,,5,,,機会があれば行きたい,
206341,かつやま恐竜の森 エリア,男,1984,42,40代,大阪府,大阪市福島区,"1,000万円以上 1,200万円未満",mobile/iphone,2026-08-10 17:21:55,8月,かつやま恐竜の森 エリア,25.かつやま恐竜の森 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,岐阜県各務原市,小学生以下連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,不満,高速道路が途中までしか開通していないため,使わない,"5,000円以上 10,000円未満","30,000円以上 40,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,福井県立恐竜博物館,,水晶浜海水浴場,"5,000円以上 10,000円未満",とても満足,恐竜博物館のフード施設が充実していて良かったため,とても満足,施設が清潔であったため,感じた,シャトルバスの駐車場までの道のりが想像以上に長い,10,恐竜博物館,"越前そば
タレカツ丼",また行きたい（1年以内）,日本酒　黒龍　九頭竜　が好きです
206307,ふくい鮮いちば エリア,女,1979,47,40代,大阪府,高槻市,200万円以上 300万円未満,mobile/iphone,2026-08-10 17:09:59,8月,かつやま恐竜の森 エリア,25.かつやま恐竜の森 エリア,勝山市,勝山市・大野市,勝山市観光まちづくり(株),1泊,1泊,福井エリア（福井市・永平寺町）,福井県外には宿泊しない,夫婦2人,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,福井県立恐竜博物館,鮮いちば,選択なし/該当施設なし,"3,000円以上 5,000円未満",満足,,満足,,感じた,少しだけ足が悪いが臨時駐車場から歩いた,7,,,機会があれば行きたい,
