会員ID,登録エリア,性別,生まれ年,回答時の年齢,年代,都道府県,会員市町村,世帯年収,UA,回答日時,回答月,回答エリア,回答エリア2,市町村,6分類,DMO,宿泊数（全体）,宿泊数（県内）,宿泊エリア（県内）,宿泊エリア（県外）,同行者,訪問目的ALL,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係,その他,福井県までの交通手段ALL,自家用車,レンタカー,新幹線,在来線,飛行機,旅行会社ツアーバス,県外から訪れていない（福井県在住）,福井県内での交通手段ALL,タクシー,路線バス,徒歩,レンタサイクル,福井県内での交通手段の満足度,福井県内での交通手段の満足度の理由,宿泊費,交通費,県内消費額,エリア訪問回数,情報収集ALL,観光展・物産展,新聞・雑誌・ガイドブック,TV・ラジオ番組やCM,観光パンフレット・ポスター,観光連盟やDMOのHP,インターネット・アプリ,Twitter,Instagram,Facebook,ブログ,友人・知人,観光協会等の案内所,タクシードライバーや地元の人,宿泊施設,アンケート回答前に訪問した主な場所,アンケート回答前に訪問した主な場所FA,アンケート回答後に訪問する予定の主な場所,エリア総消費額,満足度(商品・サービス),満足度(商品・サービス)の理由,満足度,満足度の理由,不便さ,不便さの内容,NPS,推奨項目,施設に求めるもの,今後の来訪意向,福井県に求めるもの
205911,JR敦賀駅前 エリア,男,1970,56,50代,大阪府,大阪市東住吉区,700万円以上 800万円未満,mobile/android,2026-08-02 22:57:52,8月,JR敦賀駅前 エリア,63.JR敦賀駅前 エリア,敦賀市,嶺南東部,,2泊,1泊,三国・あわらエリア（あわら市・坂井市）,石川県加賀市,夫婦2人,"温泉や露天風呂
名所、旧跡の観光
その他
",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"在来線
",0,0,0,1,0,0,0,"在来線
",0,0,0,0,どちらでもない,,"10,000円以上 20,000円未満","20,000円以上 30,000円未満","20,000円以上 30,000円未満",初めて,"新聞・雑誌・ガイドブック
観光パンフレット・ポスター
インターネット・アプリ
",0,1,0,1,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,氣比神宮,"30,000円以上 40,000円未満",満足,,満足,,感じなかった,,8,,,また行きたい（1年以内）,
205909,東尋坊 エリア,男,1986,40,40代,愛知県,知多郡,"900万円以上 1,000万円未満",mobile/android,2026-08-02 22:28:43,8月,東尋坊 エリア,10.東尋坊 エリア,坂井市,あわら市・坂井市,(一社)DMOさかい観光局,1泊,1泊,奥越前エリア（勝山市・大野市）,福井県外には宿泊しない,中学生以上連れの家族,"テーマパーク（遊園地、動物園、博物館など）
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","5,000円以上 10,000円未満","10,000円以上 20,000円未満",2～5回目,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,越前松島水族館,勝山市内の宿泊施設,選択なし/該当施設なし,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,9,,,機会があれば行きたい,
205908,web,女,1965,61,60代,岡山県,玉野市,600万円以上 700万円未満,mobile/android,2026-08-02 22:20:39,8月,小浜 エリア（宿泊施設）,69.小浜 エリア（宿泊施設）,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,夫婦2人,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,楽天トラベル、ヤフートラベル,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,どちらでもない,"間違いでチェックしました
車で満足です","30,000円以上 40,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"その他
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,舞鶴（京都府）,,三方五湖,"10,000円以上 20,000円未満",満足,,満足,,感じた,部屋の鍵が人数分欲しかった,10,"船のクルーズも楽しめたし
三方五湖も良かった",,機会があれば行きたい,
205904,小浜市 阿納 エリア,女,1992,34,30代,岐阜県,瑞穂市,500万円以上 600万円未満,mobile/android,2026-08-02 20:21:42,8月,小浜市 阿納 エリア,67.小浜市 阿納 エリア,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,小学生以下連れの家族,"宿でのんびり過ごす
温泉や露天風呂
アウトドア（海水浴、釣り、登山など）
",1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","10,000円以上 20,000円未満","20,000円以上 30,000円未満",初めて,"インターネット・アプリ
宿泊施設
",0,0,0,0,0,1,0,0,0,0,0,0,0,1,敦賀赤レンガ倉庫,,日本海さかな街,"3,000円以上 5,000円未満",満足,飲食&hellip;海鮮メニューが豊富で美味しい,満足,海水浴場もキレイに整えられている,感じなかった,,8,"阿納の海がとても穏やかで綺麗だったため。
海鮮料理もとても美味しいから。",,また行きたい（1年以内）,海水浴場に一部、水上アスレチックを提案します。
205905,web,男,1978,48,40代,岐阜県,瑞穂市,500万円以上 600万円未満,mobile/android,2026-08-02 20:09:44,8月,小浜市 阿納 エリア,67.小浜市 阿納 エリア,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,愛知県,中学生以上連れの家族,"宿でのんびり過ごす
地元の美味しいものを食べる
アウトドア（海水浴、釣り、登山など）
",1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,"50,000円以上 100,000円未満","3,000円以上 5,000円未満","1,000円以上 3,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,阿納海水浴場(2021夏は開設しません),,選択なし/該当施設なし,"3,000円以上 5,000円未満",とても満足,,とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
205903,若州一滴文庫 エリア,男,1976,50,50代,奈良県,奈良市,500万円以上 600万円未満,mobile/android,2026-08-02 19:20:14,8月,若州一滴文庫 エリア,85.若州一滴文庫 エリア,おおい町,嶺南西部,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,中学生以上連れの家族,"温泉や露天風呂
地元の美味しいものを食べる
アウトドア（海水浴、釣り、登山など）
",0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,とても満足,,使わない,"5,000円以上 10,000円未満","10,000円以上 20,000円未満",初めて,"インターネット・アプリ
友人・知人
",0,0,0,0,0,1,0,0,0,0,1,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"10,000円以上 20,000円未満",とても満足,"料理が美味しかった。
海水浴も楽しめた。",とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
205902,若狭フィッシャーマンズワーフ エリア,女,1970,56,50代,愛知県,一宮市,"1,500万円以上",mobile/iphone,2026-08-02 19:09:56,8月,若狭フィッシャーマンズワーフ エリア,70.若狭フィッシャーマンズワーフ エリア,小浜市,嶺南西部,(株)まちづくり小浜,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,その他家族,"名所、旧跡の観光
その他
",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,"在来線
",0,0,0,1,0,0,0,"在来線
レンタサイクル
",0,0,0,1,とても満足,レンタサイクルが駅前目の前にあり、事前リサーチしてなかったがすぐ目に止まった。借りる手続きも早く、1時間単位で借りられるのが良い,使わない,"3,000円以上 5,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"5,000円以上 10,000円未満",不満,お土産エリアはいいものがたくさんあってよかったが、2階のレストランは小浜丼をいただいたが、メニュー写真より魚が少なく、マグロなど地魚ではないものが使ってあった。せっかくなら値段は高くなっても福井サーモンは1.2切れは欲しかったし、甘エビやウニなどもっと地元で獲れるものをはみ出るような盛り付けだったら満足度が高いのに残念でした。福井サーモン丼はサーモンしか乗ってない写真だったのでオーダーは迷ってやめました。,どちらでもない,今回時間がなくて、とれとれ市場の方に行けなかったのでコメントは限定的ですが、施設全体が昭和のままの古い雰囲気があって、もう少しアップデートされるといいのになと思いました,感じなかった,,5,"車で行く人には薦めたいです。
私自身は今回長い電車旅だったので、買いたい海のものが買えませんでした","2階の海鮮丼のレストラン、1階のお刺身やお寿司のセクション、通り挟んだとろとれ市場、とバラバラに動かなければいけないので、全部が大きい一ヶ所になって、フードコートスタイルで家族それぞれ好きなものを選んで一緒に食べられるようになるといいなと思います。
蘇洞門クルーズで大門小門の中に、船をつける場所や階段が見えたが、中に行けるクルーズコースがあるのか、反対側まで通り抜けている洞窟？があると説明があったが、洞窟の中に入れるコースはあるのでしょうか？",機会があれば行きたい,"福井は梅、お米も美味しいので、美味しいおにぎりが買えるとうれしい。
梅酒テイスティングバーとか、釣り掘りとか、自分で好きなネタを選んで海鮮丼やちらし寿司を作るとか、体験型のアクティビティがもっとできると楽しい。"
205901,web,男,1976,50,50代,滋賀県,守山市,"900万円以上 1,000万円未満",mobile/android,2026-08-02 17:50:28,8月,小浜市 阿納 エリア,67.小浜市 阿納 エリア,小浜市,嶺南西部,(株)まちづくり小浜,1泊,1泊,嶺南エリア（敦賀市・美浜町・若狭町・小浜市・おおい町・高浜町）,福井県外には宿泊しない,小学生以下連れの家族,"アウトドア（海水浴、釣り、登山など）
",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"10,000円以上 20,000円未満","1,000円以上 3,000円未満","10,000円以上 20,000円未満",6～10回目,"観光パンフレット・ポスター
インターネット・アプリ
",0,0,0,1,0,1,0,0,0,0,0,0,0,0,阿納海水浴場(2021夏は開設しません),,道の駅「若狭おばま」,"5,000円以上 10,000円未満",とても満足,今まで利用した中で不満に思ったことはない。食事も美味しかったし、遊ぶ所も良かった。色々と値上がりは感じるが、ある程度は仕方ないと思っています。,とても満足,前記内容と同じ。,感じなかった,,10,近くで旅行気分を満喫出来る点は大きい。,地物の食材をお得な値段で楽しみたい。,また行きたい（1年以内）,色々な情報の中で観光地値段であったり、殿様商売といった口コミを目にしますが、その地の状況に理解のない言葉と思える事もあります。今まで訪問した先では親切や満足を沢山貰えたと感じているので、これからも福井県の良い所を良心的に提供頂けたら嬉しいです。
205900,湖上館パムコ（水月湖）エリア,女,1971,55,50代,京都府,京都市伏見区,400万円以上 500万円未満,mobile/iphone,2026-08-02 17:49:37,8月,湖上館パムコ（水月湖）エリア,82.湖上館パムコ（水月湖） エリア,若狭町,嶺南東部,三方五湖DMO(株),日帰り,福井県内には宿泊しない,福井県内には宿泊しない,福井県外には宿泊しない,夫婦2人,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,使わない,"1,000円以上 3,000円未満","1,000円以上 3,000円未満",2～5回目,"Instagram
",0,0,0,0,0,0,0,1,0,0,0,0,0,0,選択なし/該当施設なし,,選択なし/該当施設なし,"1,000円以上 3,000円未満",とても満足,,とても満足,,感じなかった,,10,,,また行きたい（1年以内）,
205950,越前そばの里 エリア,女,1973,53,50代,愛知県,津島市,"900万円以上 1,000万円未満",mobile/iphone,2026-08-03 21:38:22,8月,越前そばの里 エリア,37.越前そばの里 エリア,越前市,丹南,,日帰り,福井県内には宿泊しない,福井県内には宿泊しない,滋賀県,中学生以上連れの家族,"地元の美味しいものを食べる
",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"自家用車
",1,0,0,0,0,0,0,"自家用車
",0,0,0,0,,,"5,000円以上 10,000円未満","5,000円以上 10,000円未満","5,000円以上 10,000円未満",初めて,"インターネット・アプリ
",0,0,0,0,0,1,0,0,0,0,0,0,0,0,選択なし/該当施設なし,,日本海さかな街,"5,000円以上 10,000円未満",とても満足,"初めて越前そばを食べてとても美味しかっだです。焼き鯖寿司もついていてとても満足でした。
店員さんに聞いて食べたそばのお土産も買いました。またそばを食べに来たいです。",とても満足,"そばを食べる所、並んでいたけど回転が早く待ち時間もあまりなく食べれました。
店員さんもすごく丁寧な接客でした。",感じなかった,,10,越前そばが美味しくて値段もリーズナブルでした。,"気になるお土産がたくさんあり試食があればいいなと思いました。
羽二重餅も種類があり迷ってしまう。
そばを食べる所では追加で食べたいものがありましたがまた並ばなくてはいけないので席で追加注文ができたらいいなと思いました。",また行きたい（1年以内）,"そばを食べる所席の予約ができたら
いいなと思いました"
